Date,Close,Volume
,CEG,CEG
2022-01-19,40.70500946044922,129900
2022-01-20,43.61250686645508,153400
2022-01-21,43.61250686645508,329500
2022-01-24,41.48033905029297,110000
2022-01-25,40.60615539550781,23500
2022-01-26,41.887393951416016,90500
2022-01-27,44.34907531738281,151600
2022-01-28,45.30854797363281,43600
2022-01-31,46.52001190185547,71300
2022-02-01,48.24512481689453,298800
2022-02-02,51.37553405761719,23860900
2022-02-03,51.96671676635742,8425500
2022-02-04,48.59402847290039,6757800
2022-02-07,44.64951705932617,9432500
2022-02-08,44.09709548950195,7277500
2022-02-09,45.851287841796875,4393100
2022-02-10,45.599300384521484,2450000
2022-02-11,46.607242584228516,3456800
2022-02-14,46.626617431640625,2155000
2022-02-15,46.52001190185547,2359800
2022-02-16,45.74467086791992,5855300
2022-02-17,43.89357376098633,3142600
2022-02-18,44.00986862182617,2018700
2022-02-22,42.19752502441406,2611100
2022-02-23,41.76140594482422,2791200
2022-02-24,43.0944938659668,2447900
2022-02-25,42.695831298828125,2040700
2022-02-28,44.70859146118164,5534900
2022-03-01,46.46854019165039,4212900
2022-03-02,48.09236526489258,3517100
2022-03-03,48.15070724487305,2072200
2022-03-04,49.589778900146484,2544600
2022-03-07,50.221805572509766,2726900
2022-03-08,50.87328338623047,3873700
2022-03-09,49.91065979003906,3050600
2022-03-10,49.90093994140625,2692700
2022-03-11,47.956233978271484,3034100
2022-03-14,49.541160583496094,2916600
2022-03-15,49.871761322021484,2117400
2022-03-16,50.33849334716797,2989800
2022-03-17,49.58005905151367,2244600
2022-03-18,47.65480041503906,9663900
2022-03-21,47.85900115966797,2452000
2022-03-22,49.725914001464844,3841900
2022-03-23,49.58005905151367,2396200
2022-03-24,50.96079635620117,2335200
2022-03-25,52.312355041503906,2441200
2022-03-28,55.2099494934082,3127000
2022-03-29,54.77239990234375,2201300
2022-03-30,55.9100456237793,1934100
2022-03-31,54.69460678100586,3817600
2022-04-01,56.41566848754883,2156500
2022-04-04,56.765716552734375,1885100
2022-04-05,57.36857223510742,2143100
2022-04-06,57.95198059082031,2559400
2022-04-07,59.22575759887695,3925800
2022-04-08,62.249752044677734,4762100
2022-04-11,59.002113342285156,3487700
2022-04-12,60.15920639038086,2553000
2022-04-13,62.42477798461914,3405700
2022-04-14,60.820404052734375,1860100
2022-04-18,61.55939483642578,1216800
2022-04-19,64.86536407470703,2078800
2022-04-20,63.6013298034668,2182800
2022-04-21,60.93708801269531,2493700
2022-04-22,60.7037239074707,2030500
2022-04-25,60.54814910888672,2261600
2022-04-26,58.29229736328125,2136500
2022-04-27,58.42842483520508,1991600
2022-04-28,59.61469650268555,3354600
2022-04-29,57.5727653503418,2578400
2022-05-02,56.590694427490234,2488200
2022-05-03,58.04921340942383,2224200
2022-05-04,60.10086441040039,2628900
2022-05-05,58.496482849121094,1946800
2022-05-06,58.603450775146484,2861000
2022-05-09,56.0267219543457,2193700
2022-05-10,55.4627685546875,2156200
2022-05-11,55.78364181518555,1877000
2022-05-12,52.11957550048828,3785600
2022-05-13,53.23078918457031,2317500
2022-05-16,55.1607780456543,1631900
2022-05-17,57.82182693481445,2215100
2022-05-18,55.833351135253906,4609100
2022-05-19,55.78461456298828,2181100
2022-05-20,55.21926498413086,2266200
2022-05-23,55.17052459716797,1581800
2022-05-24,55.34597396850586,1682300
2022-05-25,57.675621032714844,1974700
2022-05-26,60.89227294921875,3260100
2022-05-27,64.91796875,2793800
2022-05-31,60.51212692260742,7389300
2022-06-01,62.04248046875,2008600
2022-06-02,62.139949798583984,1758500
2022-06-03,63.524085998535156,1793500
2022-06-06,64.71326446533203,2033200
2022-06-07,64.86923217773438,2721700
2022-06-08,63.134178161621094,1922200
2022-06-09,59.664100646972656,1811000
2022-06-10,58.27996063232422,1540800
2022-06-13,54.07881546020508,2113200
2022-06-14,53.0650749206543,2330400
2022-06-15,56.73012161254883,3891700
2022-06-16,56.78860092163086,4837000
2022-06-17,56.63264465332031,6478700
2022-06-21,58.85506057739258,4363600
2022-06-22,57.7146110534668,3233400
2022-06-23,57.168758392333984,2667600
2022-06-24,57.782840728759766,6473700
2022-06-27,57.91930389404297,1718900
2022-06-28,56.6131477355957,1401700
2022-06-29,55.86259460449219,1412200
2022-06-30,55.81385803222656,2424400
2022-07-01,56.14527130126953,1531900
2022-07-05,53.55244445800781,2696000
2022-07-06,55.32649230957031,1716600
2022-07-07,57.61713790893555,1872100
2022-07-08,58.143489837646484,2096000
2022-07-11,58.32870101928711,1774700
2022-07-12,57.73411178588867,1808400
2022-07-13,58.30921173095703,1577200
2022-07-14,56.457191467285156,2608600
2022-07-15,54.254268646240234,5186100
2022-07-18,53.42573165893555,2583100
2022-07-19,53.610939025878906,2326200
2022-07-20,52.70442581176758,2803600
2022-07-21,52.792144775390625,1816800
2022-07-22,52.63619613647461,1503100
2022-07-25,53.57194900512695,1847700
2022-07-26,54.09830856323242,1993500
2022-07-27,54.12754821777344,1557200
2022-07-28,62.958717346191406,8460600
2022-07-29,64.43059539794922,3895200
2022-08-01,63.650794982910156,2735200
2022-08-02,64.1771469116211,1722900
2022-08-03,65.47357177734375,2286700
2022-08-04,65.75625610351562,2425900
2022-08-05,72.42350006103516,4216800
2022-08-08,73.97334289550781,3183600
2022-08-09,73.80762481689453,2945700
2022-08-10,75.17227935791016,2134600
2022-08-11,76.83908081054688,2540200
2022-08-12,79.5840072631836,2170800
2022-08-15,79.29106140136719,1980100
2022-08-16,79.48636627197266,1878800
2022-08-17,77.8263168334961,2502200
2022-08-18,79.68164825439453,1939600
2022-08-19,78.93951416015625,1704000
2022-08-22,77.77749633789062,1724600
2022-08-23,77.87515258789062,1065800
2022-08-24,78.48058319091797,1430200
2022-08-25,80.79486083984375,1551700
2022-08-26,78.92975616455078,1641000
2022-08-29,79.09575653076172,1191200
2022-08-30,77.81655883789062,1802800
2022-08-31,79.6718978881836,3016500
2022-09-01,80.58003234863281,2421100
2022-09-02,79.16412353515625,2232200
2022-09-06,80.32615661621094,2013300
2022-09-07,80.95108795166016,1759100
2022-09-08,83.77316284179688,2184400
2022-09-09,85.45270538330078,1905300
2022-09-12,86.05814361572266,1733800
2022-09-13,84.34928894042969,1974200
2022-09-14,85.98003387451172,3600300
2022-09-15,84.7593994140625,3631800
2022-09-16,83.55834197998047,6245600
2022-09-19,87.25921630859375,4407400
2022-09-20,85.68708801269531,4626000
2022-09-21,85.2281265258789,2155100
2022-09-22,83.37278747558594,1863300
2022-09-23,81.8787612915039,2678800
2022-09-26,80.97062683105469,1973300
2022-09-27,81.99594116210938,1777800
2022-09-28,83.02124786376953,1564300
2022-09-29,81.08779907226562,1823700
2022-09-30,81.23429107666016,3267800
2022-10-03,84.5543441772461,2026700
2022-10-04,87.23968505859375,1679100
2022-10-05,86.09719848632812,1766700
2022-10-06,84.25164031982422,1677300
2022-10-07,82.40607452392578,2017200
2022-10-10,82.72830963134766,982800
2022-10-11,80.93155670166016,1534200
2022-10-12,80.22850799560547,1878400
2022-10-13,81.84947204589844,2746500
2022-10-14,79.34965515136719,1693300
2022-10-17,83.18726348876953,1678900
2022-10-18,84.47624206542969,1598900
2022-10-19,83.6755142211914,1325800
2022-10-20,82.57208251953125,2076500
2022-10-21,85.2281265258789,1749200
2022-10-24,85.52107238769531,1325000
2022-10-25,86.07766723632812,1647200
2022-10-26,86.69285583496094,1370100
2022-10-27,90.85270690917969,3345800
2022-10-28,91.54602813720703,1958000
2022-10-31,92.31745147705078,2276600
2022-11-01,93.2744140625,1467400
2022-11-02,90.90153503417969,1966100
2022-11-03,92.19051361083984,1484400
2022-11-04,92.10263061523438,1974300
2022-11-07,91.30189514160156,2120300
2022-11-08,85.48199462890625,4345400
2022-11-09,85.2964859008789,2241500
2022-11-10,92.9033432006836,4885600
2022-11-11,90.13987731933594,3133200
2022-11-14,91.8523178100586,1997000
2022-11-15,91.44157409667969,2537200
2022-11-16,89.66163635253906,1384600
2022-11-17,88.0675277709961,1792500
2022-11-18,91.24598693847656,2515700
2022-11-21,91.3340072631836,1744800
2022-11-22,94.15058898925781,1567600
2022-11-23,94.4928970336914,1135900
2022-11-25,95.02099609375,631700
2022-11-28,92.72273254394531,1590100
2022-11-29,92.35111236572266,1436200
2022-11-30,94.00390625,3361800
2022-12-01,92.39022827148438,1748600
2022-12-02,90.01371002197266,1848700
2022-12-05,88.07730102539062,2397000
2022-12-06,88.78144073486328,1237500
2022-12-07,89.94525909423828,1237200
2022-12-08,89.39759826660156,1002400
2022-12-09,87.74478912353516,1384600
2022-12-12,88.87925720214844,1554100
2022-12-13,88.84013366699219,1629900
2022-12-14,88.84990692138672,2561600
2022-12-15,87.72522735595703,2245100
2022-12-16,86.25824737548828,3911700
2022-12-19,85.79861450195312,1238100
2022-12-20,85.63233184814453,1306600
2022-12-21,87.67633056640625,1409500
2022-12-22,85.40740966796875,1548300
2022-12-23,86.10177612304688,600700
2022-12-27,85.7105941772461,634400
2022-12-28,84.70325469970703,752000
2022-12-29,84.85974884033203,870800
