Date,Close,Volume
,VLTO,VLTO
2023-10-04,77.3309326171875,8358300
2023-10-05,74.00112915039062,15351900
2023-10-06,77.50985717773438,7781100
2023-10-09,74.1601791381836,7000900
2023-10-10,74.54782104492188,5385600
2023-10-11,74.0210189819336,4602500
2023-10-12,73.782470703125,4668700
2023-10-13,71.41680908203125,5286500
2023-10-16,73.76258087158203,4555000
2023-10-17,74.03096008300781,2584900
2023-10-18,72.01319885253906,2959800
2023-10-19,69.86621856689453,2867400
2023-10-20,69.50837707519531,3151500
2023-10-23,71.46651458740234,4089800
2023-10-24,71.57585144042969,3432200
2023-10-25,70.36321258544922,3298200
2023-10-26,69.57796478271484,3537100
2023-10-27,67.580078125,3412000
2023-10-30,67.94786071777344,3393700
2023-10-31,68.58399963378906,3370700
2023-11-01,67.10298156738281,2503500
2023-11-02,69.85627746582031,2848700
2023-11-03,70.3731460571289,2225900
2023-11-06,67.84845733642578,2855000
2023-11-07,69.64754486083984,2133600
2023-11-08,69.37918090820312,2053800
2023-11-09,69.210205078125,2020500
2023-11-10,70.1246566772461,1645300
2023-11-13,72.54000091552734,2964300
2023-11-14,73.18607330322266,2814500
2023-11-15,73.46439361572266,3437100
2023-11-16,70.4526596069336,2446600
2023-11-17,70.56199645996094,1500400
2023-11-20,70.33338928222656,1814300
2023-11-21,71.87403869628906,1767600
2023-11-22,72.50023651123047,1906300
2023-11-24,73.56378936767578,823400
2023-11-27,73.05686950683594,1649900
2023-11-28,72.8779525756836,2062100
2023-11-29,73.77252197265625,2519200
2023-11-30,76.78426361083984,8454100
2023-12-01,76.04871368408203,2039400
2023-12-04,75.32311248779297,1625800
2023-12-05,75.09452056884766,1411400
2023-12-06,75.37281799316406,2001200
2023-12-07,74.1800537109375,1296000
2023-12-08,74.9752197265625,1131300
2023-12-11,76.35685729980469,1649000
2023-12-12,76.98304748535156,2329300
2023-12-13,77.27130126953125,3854100
2023-12-14,78.85172271728516,3231000
2023-12-15,78.3746109008789,6727600
2023-12-18,80.35260009765625,1955000
2023-12-19,82.93694305419922,2902900
2023-12-20,80.15381622314453,1704100
2023-12-21,80.63092041015625,919300
2023-12-22,81.14778900146484,712700
2023-12-26,81.63483428955078,700200
2023-12-27,82.71826934814453,1018100
2023-12-28,82.62870788574219,799300
2023-12-29,81.85256958007812,675000
